Player, Tournament#, Hands, Buy-In, Net Won, Chips Won, All-In Adj
ValenciaPL, 2690820555,38, $28.2+$1.8, 0, 1005.1324, 299.17780141414136
ValenciaPL, 2690823977,17, $28.2+$1.8, 0, 1000, 902.1222
ValenciaPL, 2690824732,18, $28.2+$1.8, 0, -500, 35.61507
ValenciaPL, 2690826897,20, $28.2+$1.8, 0, 1027.1216, 962.5481557575757
ValenciaPL, 2690827248,14, $28.2+$1.8, 0, 1000, 511.5931
ValenciaPL, 2690828435,34, $28.2+$1.8, 0, 1343.181818181818, 1402.3749981818182
ValenciaPL, 2690829602,38, $28.2+$1.8, 0, -500, -137.57365000000001
ValenciaPL, 2690831665,41, $28.2+$1.8, 0, 1000, -18.69832575757576
ValenciaPL, 2690833725,39, $28.2+$1.8, 0, -528.88325, 192.97122999999996
ValenciaPL, 2690835498,10, $28.2+$1.8, 0, -500, -161.430385
ValenciaPL, 2690837148,48, $28.2+$1.8, 0, 1000, -558.2468100000001
ValenciaPL, 2690837411,44, $28.2+$1.8, 0, 1000, 261.75364999999994
ValenciaPL, 2690838389,13, $28.2+$1.8, 0, -290.70724999999993, 531.1563863636364
ValenciaPL, 2690841099,35, $28.2+$1.8, 0, 1146.00005, 725.6380500000001
ValenciaPL, 2690841283,33, $28.2+$1.8, 0, -500, -813.318882020202
ValenciaPL, 2690843016,36, $28.2+$1.8, 0, -500, -28.181400000000053
ValenciaPL, 2690843562,10, $28.2+$1.8, 0, -500, -500
ValenciaPL, 2690845289,24, $28.2+$1.8, 0, 989.2162, 260.773625
ValenciaPL, 2690845399,19, $28.2+$1.8, 0, 1104.075504040404, 979.939864040404
ValenciaPL, 2690847168,31, $28.2+$1.8, 0, -480.88599999999997, -380.5105
ValenciaPL, 2690848012,25, $28.2+$1.8, 0, 1000, 199.29664000000002
ValenciaPL, 2690848449,32, $28.2+$1.8, 0, 1000, 209.1243279292929
ValenciaPL, 2690852522,9, $28.2+$1.8, 0, -500, 88.73664999999995
ValenciaPL, 2690853192,18, $28.2+$1.8, 0, -530, 14.549999999999955
ValenciaPL, 2690853695,10, $28.2+$1.8, 0, -500, -500
ValenciaPL, 2690853840,58, $28.2+$1.8, 0, -560, 267.19509999999997
ValenciaPL, 2690855596,13, $28.2+$1.8, 0, 1000, 276.8197818181818
ValenciaPL, 2699829060,30, $0.92+$0.08, 0, 1000, 977.2640727272727
ValenciaPL, 2699829080,52, $0.92+$0.08, 0, -488.2406, -711.4971520202021
ValenciaPL, 2699829094,13, $0.92+$0.08, 0, -500, -541.3962
ValenciaPL, 2699832738,28, $0.92+$0.08, 0, -500, 337.7538361111111
ValenciaPL, 2699834611,39, $0.92+$0.08, 0, -500, -687.5944300000001
ValenciaPL, 2699837990,22, $0.92+$0.08, 0, -500, -797.9809181818182
ValenciaPL, 2699838434,41, $0.92+$0.08, 0, -644.85365, -217.94412696969698
ValenciaPL, 2699839906,29, $0.92+$0.08, 0, 1000, 953.8980472727274
